name,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,alignment,good,lawful,race,spells,weapons
7a2bfc,Criminal,2018-05-27T20:14:52Z,Warlock 3,Warlock,The Celestial,3,,13,13,8,15,10,14,13,15,Sleight of Hand|Stealth|Arcana|Religion|Deception,,N/A,N/A,Kenku,Light*0|Sacred Flame*0|Eldritch Blast*0|Eldritch Blast*0|Prestidigitation*0|Guidance*0|True Strike*0|Mage Hand*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2,"Crossbow, Light|Dagger"
aa8854,Criminal,2018-08-04T15:45:17Z,Wizard 1,Wizard,,1,,7,13,10,16,13,16,12,8,Stealth|Arcana|Investigation|Perception|Deception,,N/A,N/A,Elf,,Quarterstaff
26410c,Folk Hero,2018-07-26T03:31:17Z,Cleric 4,Cleric,Trickery Domain,4,Inspiring Leader,42,16,16,11,18,13,18,14,History|Animal Handling|Insight|Survival,,N/A,N/A,Firbolg,Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2,"Mace|Crossbow, Light"
088313,Soldier,2018-08-13T18:42:17Z,Fighter 7,Fighter,Champion,7,Squat Nimbleness,76,18,18,14,14,12,12,9,Athletics|Acrobatics|Insight|Intimidation,,N/A,N/A,Halfling,,"Maul|Longsword|Crossbow, Light"
998121,Hermit,2018-07-01T19:50:49Z,Warlock 1,Warlock,The Fiend,1,,10,11,12,11,15,12,10,16,Arcana|Investigation|Religion|Medicine,,N/A,N/A,Dragonborn,,Quarterstaff|Club|Dagger
af7e20,Outlander,2018-09-09T08:04:25Z,Barbarian 8,Barbarian,Path of the Totem Warrior,8,,101,22,20,20,20,12,14,18,Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation,Chaotic Good,G,C,Dwarf,,Battleaxe|Warhammer|Javelin
ed9db6,Outlander,2018-05-31T18:52:17Z,Fighter 1,Fighter,,1,War Caster,11,18,16,13,14,12,11,8,Athletics|Acrobatics|Insight|Perception|Survival,,N/A,N/A,Human,,Greataxe|Handaxe
c83fcd,Sage,2018-09-08T14:35:32Z,Wizard 1,Wizard,,1,,8,10,10,10,15,16,10,13,Arcana|History|Investigation|Insight,,N/A,N/A,Yuan-ti,,Quarterstaff
e8eb6c,Noble,2018-07-06T03:51:28Z,Sorcerer 1,Sorcerer,Storm Sorcery,1,,9,11,11,13,16,17,14,15,Arcana|History|Deception|Persuasion,,N/A,N/A,Gnome,,Dagger
cefbd5,Knight,2018-07-07T05:21:32Z,Paladin 1,Paladin,,1,,11,16,17,10,15,11,15,14,Athletics|Nature|Medicine|Survival|Persuasion,Lawful Good,G,L,Tortle,,Maul|Warhammer
a8afd6,Urban Bounty Hunter,2018-07-26T17:19:32Z,Fighter 3|Barbarian 1,Fighter|Barbarian,Battle Master,4,,37,16,15,10,14,9,12,15,Insight|Perception|Intimidation|Persuasion,,N/A,N/A,Tiefling,,Longbow|Greatsword|Trident|Handaxe
be2028,Acolyte,2018-07-26T17:21:25Z,Paladin 4,Paladin,Oath of Ancients,4,,45,18,17,8,16,10,12,14,Religion|Insight|Medicine|Intimidation,Lawful Neutral,N,L,Dragonborn,Ensnaring Strike*1|Speak with Animals*1,Flail|Javelin|Longsword
